Date,Job Title,Industry,Skills,Salary,Location
2020-01-01 00:00:00.000000000,Machine Learning Scientist,Healthcare,"Big Data, NLP",85795,Bangalore
2020-01-04 15:52:18.276553106,Natural Language Processing Engineer,Manufacturing,"Deep Learning, Python, TensorFlow, NLP",70860,Berlin
2020-01-08 07:44:36.553106212,Data Scientist,Healthcare,"NLP, Machine Learning, TensorFlow, Deep Learning",173694,London
2020-01-11 23:36:54.829659318,AI Engineer,Education,"Python, Big Data, Data Analysis, NLP",146820,San Francisco
2020-01-15 15:29:13.106212424,Data Scientist,Retail,"Big Data, Data Analysis, Machine Learning, Computer Vision",124886,Bangalore
2020-01-19 07:21:31.382765531,Deep Learning Engineer,Finance,"Deep Learning, Python, Machine Learning, Data Analysis, TensorFlow",76265,Bangalore
2020-01-22 23:13:49.659318637,Machine Learning Scientist,Finance,"Data Analysis, Big Data, TensorFlow, NLP, Computer Vision",152386,London
2020-01-26 15:06:07.935871743,Machine Learning Scientist,Manufacturing,"Data Analysis, NLP, Deep Learning, Python, Big Data",107194,London
2020-01-30 06:58:26.212424849,AI Researcher,Healthcare,"Big Data, PyTorch, Machine Learning, Data Analysis",157498,Berlin
2020-02-02 22:50:44.488977955,Machine Learning Scientist,Healthcare,"Machine Learning, Data Analysis",114131,New York
2020-02-06 14:43:02.765531062,AI Researcher,Technology,"TensorFlow, PyTorch",130263,London
2020-02-10 06:35:21.042084168,Natural Language Processing Engineer,Retail,"Big Data, Machine Learning, NLP, Python",86023,London
2020-02-13 22:27:39.318637274,AI Engineer,Education,"Machine Learning, Data Analysis, Python, PyTorch",111090,Tokyo
2020-02-17 14:19:57.595190380,Deep Learning Engineer,Finance,"TensorFlow, Deep Learning, PyTorch, Computer Vision",137221,San Francisco
2020-02-21 06:12:15.871743486,AI Researcher,Technology,"TensorFlow, Deep Learning, Machine Learning, PyTorch",134820,Tokyo
2020-02-24 22:04:34.148296593,AI Engineer,Technology,"PyTorch, Python, Deep Learning, Big Data",70769,Tokyo
2020-02-28 13:56:52.424849699,Machine Learning Scientist,Manufacturing,"Data Analysis, Computer Vision, PyTorch, Deep Learning",129735,Bangalore
2020-03-03 05:49:10.701402805,Machine Learning Scientist,Finance,"Data Analysis, Big Data, TensorFlow, NLP",132955,New York
2020-03-06 21:41:28.977955911,AI Engineer,Manufacturing,"Machine Learning, Data Analysis, PyTorch, Python, Big Data",134925,San Francisco
2020-03-10 13:33:47.254509018,Machine Learning Scientist,Education,"Big Data, NLP, TensorFlow, Deep Learning, Computer Vision",137969,Berlin
2020-03-14 05:26:05.531062124,Natural Language Processing Engineer,Technology,"TensorFlow, Python",75311,Berlin
2020-03-17 21:18:23.807615230,Natural Language Processing Engineer,Technology,"Machine Learning, TensorFlow, Python, Deep Learning, Computer Vision",173355,London
2020-03-21 13:10:42.084168336,AI Engineer,Retail,"Computer Vision, Python, PyTorch",174724,London
2020-03-25 05:03:00.360721442,AI Researcher,Education,"TensorFlow, Big Data",153104,Berlin
2020-03-28 20:55:18.637274548,AI Researcher,Technology,"Big Data, NLP",123707,London
2020-04-01 12:47:36.913827655,AI Engineer,Education,"Deep Learning, TensorFlow, PyTorch, Big Data, NLP",155305,New York
2020-04-05 04:39:55.190380761,AI Researcher,Finance,"Machine Learning, NLP",98693,Tokyo
2020-04-08 20:32:13.466933867,AI Researcher,Healthcare,"Big Data, Computer Vision, Machine Learning, NLP",141932,London
2020-04-12 12:24:31.743486973,Natural Language Processing Engineer,Technology,"Deep Learning, Computer Vision, Python",163016,Bangalore
